id;submitdate;lastpage;startlanguage;seed;startdate;datestamp;XAI01;XAI02;XAI03;XAI04;AIpT01;AIpT02;AIpT03;EnvSus01;EnvSus02;EnvSus03;EnvSus04;EnvSus05;O01;O02;O03;O04
13;11.05.2020 22:05;4;de;1432322853;11.05.2020 22:03;11.05.2020 22:05;A2;A1;4;A2;A1;A3;Keine Ahnung;A4;A5;A4;A4;Keine Ahnung;A3;A2;A2;Keine Meinung
14;;;de;602854548;11.05.2020 22:17;11.05.2020 22:17;;;;;;;;;;;;;;;;
15;11.05.2020 22:23;4;de;1540005203;11.05.2020 22:20;11.05.2020 22:23;A2;A2;3;A3;A1;A4;;A3;A5;A4;A5;;A4;A2;A3;Damit jeder das System nutzen kann um eine ideale KI zu gewährleisten 
16;12.05.2020 03:53;4;de;1086573892;12.05.2020 03:48;12.05.2020 03:53;A2;A2;2;A1;A1;A3;;A4;A6;A5;A5;;A4;A3;A3;Damit man versteht worauf man sich verlässt.
17;12.05.2020 04:14;4;de;703180259;12.05.2020 04:10;12.05.2020 04:14;A1;A1;5;A1;A1;A3;;A3;A1;A4;A4;;A2;A2;A3;.
18;12.05.2020 05:24;4;de;1549134881;12.05.2020 05:20;12.05.2020 05:24;A2;A1;3;A3;A1;A3;;A2;A2;A3;A3;;A3;A1;A2;.
19;12.05.2020 05:47;4;de;462957631;12.05.2020 05:42;12.05.2020 05:47;A3;A1;2;A4;A2;A2;;A3;A4;A4;A4;;A3;A1;A3;damit die menschen es besser verstehen
20;12.05.2020 06:07;4;de;102731127;12.05.2020 06:00;12.05.2020 06:07;A3;A1;2;A2;A1;A5;Vielleicht bessere Auslastung & Verteilung der Personen-Ströme;A4;A5;A5;A5;Focus auf Produktionsprozesse;A4;A2;A3;weil Menschen im Allgemeinen KI nicht beschäftigt und sie deswegen unbekannt ist
21;12.05.2020 06:14;4;de;951751790;12.05.2020 06:08;12.05.2020 06:14;A2;A1;2;A1;A1;A3;;A4;A2;A5;A5;;A2;A1;A3;Transparenz wodurch Fahrgäste vertrauen gewinnen können
22;12.05.2020 06:22;4;de;996667832;12.05.2020 06:13;12.05.2020 06:22;A2;A2;2;A2;A1;A4;Habe dazu noch keine Anhaltspunkte für eine Aussage;A4;A5;A5;A5;Vorfahrt, Signaltechnisch, Fahrplangestaltung.;A5;A3;A4;Im allgemeinen hat der Bürger / Fahrgast keine Ahnung von der künstl. Intelig. im Verkehrswesen.
23;12.05.2020 06:25;4;de;1406602352;12.05.2020 06:14;12.05.2020 06:25;A2;A2;4;A1;A1;A3;Ist mir unheimlich.;A3;A4;A5;A5;Pünktlichkeit, Fahrpläne.;A4;A3;A4;Damit es jeder verstehen kann
24;12.05.2020 06:25;4;de;376616737;12.05.2020 06:19;12.05.2020 06:25;A2;A1;3;A3;A2;A4;Automatisiertes Fahren (Züge,Busse,ohne Fahrer);A3;A2;A4;A4;;A3;A2;A3;Weil die Personen bekanntlich mehr Angst vor Dingen haben ,die sie nicht verstehen 
25;;;de;2088750624;12.05.2020 06:25;12.05.2020 06:25;;;;;;;;;;;;;;;;
26;12.05.2020 06:38;4;de;372724303;12.05.2020 06:32;12.05.2020 06:38;A2;A1;3;A1;A2;A5;Bei den Zügen und Straßenbahnen, also im Schienenverkehr;A2;A4;A4;A5;Dafür habe ich keine Verbesserungsideen.;A4;A3;A4;"Weil die Leute, den Sachen die sie Verstehen und die ihnen Erklärt werden mehr Vetrauen als unbekannten Sachen. 
Wenn die Leute dann dem ÖPNV vertrauen ist die Chance auch höher dass die Leute ihn nutzen."
27;12.05.2020 06:39;4;de;1712101893;12.05.2020 06:35;12.05.2020 06:39;A3;A1;2;A2;A3;A4;"Schnellere Busrouten 
Bessere Auslastung der Angebote";A3;A4;A4;A4;"Bessere Auslastung 
Mehr Besucher";A5;A2;A3;Um den Leuten die Angst zu nehmen in etwas zu fahren, dass kein Mensch steuert
28;12.05.2020 07:21;4;de;1970645773;12.05.2020 07:17;12.05.2020 07:21;A3;A2;2;A1;A1;A3;;A3;A1;A4;A4;;A2;A2;A4;ÖPNV ist für viele gar nicht mehr aus dem Alltag wegzudenken. Da viele Angst vor Neuerungen und insbesondere vor Technik haben, ist die Erklärbarkeit (hier ist übrigens ein Tippfehler in der Frage..) meiner Meinung nach sehr wichtig. 
29;12.05.2020 07:40;4;de;1605698420;12.05.2020 07:37;12.05.2020 07:40;A2;A1;2;A2;A2;A4;;A4;A4;A5;A4;;A3;A2;A3;Fürs Vertrauen 
30;12.05.2020 09:20;4;de;2020221972;12.05.2020 09:16;12.05.2020 09:20;A2;A1;5;A2;A1;A2;;A3;A5;A4;A4;;A3;A2;A3;WEIL ICH MICH SONST NICHT DARAUF VERLASSEN WÜRDE UND GEGEBENENFALLS EN ÖPNV GAR NICHT NUTZEN WÜRDE
31;12.05.2020 09:46;4;de;942393436;12.05.2020 09:40;12.05.2020 09:46;A4;A4;2;A2;A2;A4;Scheduling, Fahrkartenkontrolle;A4;A2;A5;A5;Effiziente Nutzung der Ressourcen, Attraktivität von nachhaltigen Verkehrsmitteln erhöhen;A3;A2;A2;Es liefert Argumente.
32;12.05.2020 10:48;4;de;144907297;12.05.2020 10:32;12.05.2020 10:48;A3;A2;2;A1;A2;A5;Steuerung von Fahrzeugen und Echtzeit Fahrplan Anpassung von Zeiten, Anzahl der Fahrzeuge je nach Passagier Aufkommen und Entlastung des Personals bei Störungen ;A4;A3;A5;A5;Anpassung der Fahrpläne um bessere Auslastung zu erreichen. Staatliche Förderung um den ÖPNV attraktiver zu machen;A4;A3;A4;Um eventuelle Unsicherheit oder Angst zu nehmen
33;12.05.2020 12:51;4;de;1502949221;12.05.2020 12:44;12.05.2020 12:51;A4;A1;2;A3;A2;A5;Prozess Optimierung und Beschleunigung. Zum Bespiel nutzen von Fahrtwegen, Anschlusszügen oder Mitarbeiter Einsatz;A4;A3;A5;A5;Verlässlichkeit schafft mehr Zuspruch, was sich positiv auswirkt. Größeres Angebot schaffen. Komfort steigern.;A5;A1;A1;Es ist nicht wichtig, da den Nutzer von ÖPNV nur das Resultat interessiert und nicht wie es zu Stande kommt
34;12.05.2020 22:43;4;de;702655367;12.05.2020 22:38;12.05.2020 22:43;A2;A1;2;A1;A2;A4;Optimierung der Fahrpläne;A3;A1;A5;A5;Mehr Personen fürs Pendeln begeistern, sodass weniger Autos in den Städten fahren müssen;A5;A3;A4;Da Allgemein die Aufklärung wichtig ist. In Bezug zum ÖPNV vor allem damit Personen durch die KI nicht vom ÖPNV abgeschreckt werden
35;;;de;1521436195;21.05.2020 16:39;21.05.2020 16:39;;;;;;;;;;;;;;;;
36;28.05.2020 21:34;4;de;1821193254;28.05.2020 21:32;28.05.2020 21:34;A3;A4;2;A2;A2;A2;;A3;A2;A4;A4;;A4;A2;A3;Akzeptanz bei Bevölkerung
37;28.05.2020 21:37;4;de;1533751982;28.05.2020 21:34;28.05.2020 21:37;A2;A2;2;A2;A1;A3;;A4;A3;A5;A5;;A3;A2;A4;wird die Akzeptanz bei Nutzern erhöhen
38;;;de;1214722551;29.05.2020 20:46;29.05.2020 20:46;;;;;;;;;;;;;;;;
39;02.06.2020 13:15;4;de;1359624042;02.06.2020 13:13;02.06.2020 13:15;A5;A3;3;A1;A2;A5;;A4;A2;A5;A5;;A4;A3;A4;"Effizienz
Benutzerfreundlicher"
40;02.06.2020 13:19;4;de;1893052048;02.06.2020 13:17;02.06.2020 13:19;A4;A4;3;A1;A2;A4;;A3;A3;A4;A4;;A3;A2;A3;
41;02.06.2020 13:21;4;de;416446164;02.06.2020 13:19;02.06.2020 13:21;A4;A2;2;A2;A1;A3;;A2;A5;A2;A2;;A3;A2;A3;
42;03.06.2020 07:48;4;de;204342715;03.06.2020 07:46;03.06.2020 07:48;A1;A1;2;A1;A1;A5;;A3;A3;A4;A4;;A3;A2;A3;
43;03.06.2020 12:12;4;de;321445015;03.06.2020 12:10;03.06.2020 12:12;A3;A2;3;A2;A1;A4;;A3;A2;A4;A5;;A4;A3;A4;
44;03.06.2020 12:13;4;de;853217264;03.06.2020 12:12;03.06.2020 12:13;A2;A2;3;A1;A1;A4;;A3;A2;A4;A4;;A4;A3;A4;
45;04.06.2020 19:57;4;de;1523096723;04.06.2020 19:55;04.06.2020 19:57;A1;A1;3;A2;A1;A4;;A4;A2;A5;A5;;A4;A3;A4;
46;05.06.2020 08:57;4;de;252012179;05.06.2020 08:56;05.06.2020 08:57;A3;A2;2;A1;A2;A5;;A3;A2;A4;A4;;A4;A3;A4;
47;07.06.2020 09:25;4;de;868844428;07.06.2020 09:24;07.06.2020 09:25;A2;A1;3;A2;A1;A4;;A3;A2;A4;A4;;A3;A2;A3;Effizienz Steuerung
48;07.06.2020 18:53;4;de;871463627;07.06.2020 18:52;07.06.2020 18:53;A2;A1;2;A1;A1;A4;;A3;A1;A5;A5;;A5;A3;A4;Effizienz Fahrgaststeuerung Steuerung Ströme
49;08.06.2020 08:59;4;de;1858183605;08.06.2020 08:58;08.06.2020 08:59;A3;A1;3;A1;A1;A4;;A3;A3;A5;A5;;A3;A2;A4;
50;11.06.2020 15:10;4;de;2006574187;11.06.2020 15:08;11.06.2020 15:10;A5;A3;4;A1;A2;A5;;A3;A1;A5;A5;;A4;A3;A4;Effinzienz, Fahrgasströme, Steuerung
51;19.06.2020 08:16;4;de;695082493;19.06.2020 08:16;19.06.2020 08:16;A3;A4;2;A3;A1;A3;;A2;A3;A4;A3;;A2;A2;A2;
52;19.06.2020 08:25;4;de;1869619810;19.06.2020 08:24;19.06.2020 08:25;A2;A2;2;A2;A2;A3;;A2;A6;A2;A2;;A4;A2;A3;
53;19.06.2020 08:45;4;de;112651092;19.06.2020 08:44;19.06.2020 08:45;A2;A2;2;A2;A1;A4;;A2;A2;A2;A2;;A3;A2;A3;
54;19.06.2020 08:59;4;de;990948617;19.06.2020 08:58;19.06.2020 08:59;A4;A4;2;A1;A1;A5;;A3;A2;A4;A4;;A4;A3;A4;
55;20.06.2020 14:22;4;de;932978253;20.06.2020 14:21;20.06.2020 14:22;A3;A4;3;A2;A2;A4;;A4;A1;A5;A5;;A5;A3;A4;
;;;;;;;;;;;;;;;;;;;;;;
